Year,st,State,Atkin05,Gini,RMeanDev,Theil
1924,3,Arizona,0.110924847,0.342791885,0.468604952,0.262564182
1924,4,Arkansas,0.140177652,0.382588238,0.525333941,0.357850343
1924,5,California,0.17342037,0.424569696,0.599335611,0.481654853
1924,6,Colorado,0.155984864,0.399340093,0.54983288,0.417149842
1924,7,Connecticut,0.213846758,0.476465553,0.683970034,0.608876944
1924,8,Delaware,0.249611393,0.493469596,0.718409598,0.794194698
1924,9,District of Columbia,0.170262143,0.421082765,0.590120137,0.468731016
1924,10,Florida,0.210333869,0.473021686,0.677268863,0.581001103
1924,11,Georgia,0.145400167,0.390281379,0.547886312,0.380344152
1924,13,Idaho,0.090795673,0.31906566,0.448082507,0.196651638
1924,14,Illinois,0.185536712,0.438799977,0.617491245,0.533059239
1924,15,Indiana,0.147898823,0.394228667,0.544121861,0.385236621
1924,16,Iowa,0.133249357,0.375396699,0.516408145,0.335027963
1924,17,Kansas,0.126765102,0.367390275,0.520044029,0.316430569
1924,18,Kentucky,0.161845505,0.416563392,0.579484284,0.422190338
1924,19,Louisiana,0.154717624,0.412337959,0.57747668,0.395607382
1924,20,Maine,0.176256657,0.432603538,0.604591668,0.483368218
1924,21,Maryland,0.179760545,0.43440789,0.605303049,0.49705106
1924,22,Massachusetts,0.225577384,0.48475346,0.699943781,0.654707789
1924,23,Michigan,0.187988281,0.428377688,0.601657569,0.608298182
1924,24,Minnesota,0.164325342,0.412070781,0.572224617,0.450104117
1924,25,Mississippi,0.148003906,0.39059782,0.541633308,0.394082099
1924,26,Missouri,0.173688307,0.427239329,0.606015444,0.470210165
1924,27,Montana,0.096892036,0.316405028,0.434813976,0.226552606
1924,28,Nebraska,0.122247808,0.363873124,0.50095588,0.298375338
1924,29,Nevada,0.095478281,0.323787957,0.457060277,0.220778063
1924,30,New Hampshire,0.162780628,0.415213078,0.58158958,0.432976365
1924,31,New Jersey,0.186234489,0.439687103,0.619957149,0.527694702
1924,32,New Mexico,0.0994398,0.328916728,0.445281088,0.230552107
1924,33,New York,0.25120452,0.508375406,0.739646196,0.792441726
1924,34,North Carolina,0.165009424,0.407649457,0.568829119,0.460697919
1924,35,North Dakota,0.091919161,0.315039366,0.43401441,0.206892431
1924,36,Ohio,0.181614473,0.43360728,0.613102674,0.520184398
1924,37,Oklahoma,0.155889153,0.400212914,0.552394211,0.419491976
1924,38,Oregon,0.13344039,0.376901627,0.518818378,0.328515351
1924,39,Pennsylvania,0.195360333,0.442536116,0.631047487,0.584599376
1924,40,Rhode Island,0.219521925,0.473363638,0.67879951,0.658950031
1924,41,South Carolina,0.133047447,0.378467798,0.520154893,0.318879396
1924,42,South Dakota,0.078757957,0.287989318,0.392096698,0.176960543
1924,43,Tennessee,0.155344054,0.408183157,0.577276707,0.399714679
1924,44,Texas,0.137000293,0.379054576,0.519235253,0.348879188
1924,45,Utah,0.116099581,0.35304603,0.490754038,0.272236794
1924,46,Vermont,0.15525049,0.406416148,0.5662328,0.41814512
1924,47,Virginia,0.147114694,0.395938665,0.546132743,0.37949428
1924,48,Washington,0.103249162,0.33387807,0.460490882,0.242371097
1924,49,West Virginia,0.141300038,0.383728355,0.530035436,0.365515053
1924,50,Wisconsin,0.159403756,0.405878216,0.570018768,0.430749953
1924,51,Wyoming,0.099795371,0.324435174,0.444278032,0.229898855
1925,0,United States,0.251975268,0.519551396,0.769021749,0.779258549
1925,1,Alabama,0.164185464,0.431693166,0.619196534,0.41424039
